Date,log_return
1986-09-08,0.0
1986-09-09,-0.041141943331175185
1986-09-10,-0.00668898815079654
1986-09-11,0.010016778243471209
1986-09-12,0.000664231176862766
1986-09-15,-0.05108362880338793
1986-09-16,-0.03629000140520049
1986-09-17,0.016529301951210506
1986-09-18,0.03639309950313204
1986-09-19,-0.005513452974109007
1986-09-22,-0.03731513531101477
1986-09-23,0.025497131933483817
1986-09-24,0.01733145635163994
1986-09-25,-0.01873103670606324
1986-09-26,0.01044941587434114
1986-09-29,0.03406323876531955
1986-09-30,-0.015525117766408456
1986-10-01,0.03541967312237988
1986-10-02,0.009800797170427514
1986-10-03,-0.034394924787884903
1986-10-06,-0.002020883139772357
1986-10-07,0.05061875810565057
1986-10-08,-0.016155440222285256
1986-10-09,-0.01973748283832132
1986-10-10,-0.004662013105811301
